Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
60018,Yes,No,United States,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,10 to 19 employees,Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Student,6-8 years,0-2 years,Neither satisfied nor dissatisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,I am not interested in new job opportunities,Less than a year ago,6.0,7.0,3.0,4.0,8.0,5.0,9.0,2.0,10.0,1.0,1.0,3.0,5.0,6.0,8.0,4.0,10.0,11.0,7.0,9.0,2.0,,,,,,,,,,,,,My job status or other personal status changed,U.S. dollars ($),80000.0,,80000.0,USD,"Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software",The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow,,,Agree,Neither Agree nor Disagree,Disagree,C++;Java;JavaScript;Matlab;Python;R;SQL;HTML;CSS;Bash/Shell,JavaScript;Python;R;HTML;CSS;Bash/Shell,MongoDB;MySQL;PostgreSQL;Amazon Redshift,MongoDB;MySQL;PostgreSQL,Heroku;Linux;Windows Desktop or Server,Heroku;iOS;Linux;Windows Desktop or Server,Django;Node.js;React;TensorFlow,Django;Node.js;React;TensorFlow,IPython / Jupyter;NetBeans;Notepad++;RStudio;Visual Studio Code,Linux-based,1,Agile,Git,A few times per week,Yes,Yes,The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,2.0,3.0,4.0,5.0,7.0,6.0,1.0,,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",,Yes,10 (Very Likely),A few times per week,Yes,A few times per month or weekly,Yes,"No, and I don't know what that is",5,I'm not sure,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Between 6:01 - 7:00 AM,1 - 4 hours,30 - 59 minutes,3 - 4 times per week,,1 - 2 times per week,Male,Straight or heterosexual,"Professional degree (JD, MD, etc.)",Middle Eastern,18 - 24 years old,No,No,The survey was an appropriate length,Somewhat easy
60049,Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Data scientist or machine learning specialist,30 or more years,15-17 years,Moderately satisfied,Moderately satisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,10.0,7.0,9.0,8.0,5.0,1.0,3.0,6.0,2.0,4.0,2.0,11.0,1.0,5.0,9.0,3.0,8.0,7.0,6.0,10.0,4.0,4.0,3.0,5.0,2.0,1.0,,,,,,,,A friend told me about a job opportunity,U.S. dollars ($),124000.0,Yearly,124000.0,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,,Strongly agree,Disagree,Strongly disagree,JavaScript;R;HTML;CSS,JavaScript;R;Scala;HTML;CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,Yes,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,Never,,1 - 2 times per week,,,,,,,,,
60124,Yes,Yes,United States,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,100 to 499 employees,Data scientist or machine learning specialist;DevOps specialist,9-11 years,0-2 years,Slightly satisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,1.0,10.0,6.0,3.0,4.0,7.0,5.0,8.0,9.0,2.0,3.0,4.0,1.0,10.0,6.0,2.0,9.0,7.0,11.0,8.0,5.0,3.0,1.0,4.0,2.0,5.0,7.0,5.0,2.0,3.0,1.0,6.0,4.0,I had a negative experience or interaction at work,U.S. dollars ($),75000.0,Yearly,75000.0,USD,"Confluence;Facebook;Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;Because I find it enjoyable",Agree,Strongly disagree,Disagree,C;CoffeeScript;Clojure;Groovy;Java;Matlab;Python;Ruby;Bash/Shell,Clojure;Haskell;Julia;Python;R;Rust;Scala,,PostgreSQL,,,Hadoop,Hadoop;TensorFlow,Android Studio;Emacs;IntelliJ;IPython / Jupyter;Vim,MacOS,2,Agile;Evidence-based software engineering;Extreme programming (XP);Pair programming;Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Strongly disagree,Strongly disagree,Strongly agree,Stopped going to a website because of their advertising,2.0,3.0,4.0,1.0,5.0,7.0,6.0,"Artificial intelligence surpassing human intelligence (""the singularity"")","Artificial intelligence surpassing human intelligence (""the singularity"")",,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per week,Yes,"No, and I don't know what that is",10 (Very Likely),Yes,Extremely interested,Very interested,A little bit interested,Extremely interested,Extremely interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,Never,Standing desk,3 - 4 times per week,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",White or of European descent,25 - 34 years old,No,No,The survey was too long,Very easy
60165,Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist,9-11 years,3-5 years,Extremely satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,Less than a year ago,9.0,7.0,1.0,2.0,3.0,8.0,5.0,6.0,10.0,4.0,1.0,3.0,9.0,11.0,5.0,4.0,2.0,7.0,10.0,8.0,6.0,,,,,,,,,,,,,A recruiter contacted me,U.S. dollars ($),180000.0,,180000.0,USD,Google Hangouts/Chat;HipChat;Jira,Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book",,"To improve my knowledge of a specific programming language, framework, or other technology",Agree,Strongly disagree,Strongly disagree,C;Go;Java;Rust;Scala;SQL,C;Go;Haskell;Rust;SQL;Swift;Kotlin,Cassandra;MongoDB;Redis;SQL Server;MySQL;PostgreSQL;Amazon DynamoDB;Apache HBase;Apache Hive;Elasticsearch,Elasticsearch,Linux;Mac OS;Raspberry Pi,Linux;Raspberry Pi,Hadoop;Node.js;Spark,Spark;TensorFlow,Eclipse;IntelliJ;Sublime Text;Vim,MacOS,1,Agile;Scrum,Git,Multiple times per day,Yes,Yes,,Neither agree nor disagree,Somewhat disagree,Strongly agree,Stopped going to a website because of their advertising,1.0,2.0,7.0,6.0,3.0,5.0,4.0,,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,4,A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,No,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Between 5:00 - 6:00 AM,9 - 12 hours,3 - 4 hours,Never,Standing desk,Daily or almost every day,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Somewhat easy
60630,Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Data scientist or machine learning specialist,6-8 years,0-2 years,Extremely satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,6.0,9.0,3.0,5.0,4.0,1.0,8.0,2.0,10.0,7.0,6.0,8.0,1.0,3.0,11.0,5.0,4.0,7.0,2.0,10.0,9.0,5.0,1.0,2.0,3.0,4.0,6.0,3.0,4.0,1.0,5.0,2.0,7.0,My job status or other personal status changed,U.S. dollars ($),76000.0,Yearly,76000.0,USD,,Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",,,Agree,Agree,Agree,C++;Matlab;Python;Bash/Shell,C++;Python;Bash/Shell,,,Linux;Mac OS,Linux,TensorFlow;Torch/PyTorch,TensorFlow;Torch/PyTorch,IPython / Jupyter;Notepad++;PyCharm;Sublime Text;Vim,Linux-based,2,,Git,Less than once per month,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it,Somewhat agree,Somewhat agree,Somewhat disagree,Saw an online advertisement and then researched it (without clicking on the ad),3.0,2.0,6.0,5.0,4.0,7.0,1.0,Increasing automation of jobs,Increasing automation of jobs,Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The developer who wrote it,Yes,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",8,Yes,Somewhat interested,Somewhat interested,Not at all interested,Somewhat interested,Very interested,Between 8:01 - 9:00 AM,9 - 12 hours,Less than 30 minutes,Daily or almost every day,Ergonomic keyboard or mouse,I don't typically exercise,Male,Straight or heterosexual,Associate degree,White or of European descent,25 - 34 years old,Yes,No,The survey was an appropriate length,Very easy
60792,Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Data scientist or machine learning specialist,15-17 years,,,,,,,5.0,3.0,6.0,4.0,7.0,2.0,9.0,1.0,8.0,10.0,4.0,6.0,7.0,2.0,3.0,8.0,9.0,5.0,10.0,1.0,,,,,,,,,,,,,,A friend told me about a job opportunity,Japanese yen (¥),100000.0,Yearly,900.0,JPY,"Google Hangouts/Chat;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Trello",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",,To build my professional network;To help me find new job opportunities;Because I find it enjoyable,Neither Agree nor Disagree,Strongly disagree,Disagree,R;Bash/Shell,Go;R;Bash/Shell,SQL Server,SQL Server,IBM Cloud or Watson,,,,Emacs;RStudio,MacOS,1,Pair programming,Git,Multiple times per day,No,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),,,,,,,,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",The person who came up with the idea,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per week,Yes,Yes,9,Yes,,,,,,,,,,,,,,,,,,,,
60853,No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer;Mobile developer;System administrator,15-17 years,9-11 years,Moderately satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,2.0,4.0,5.0,3.0,1.0,6.0,7.0,9.0,10.0,8.0,1.0,2.0,3.0,11.0,9.0,4.0,7.0,6.0,5.0,8.0,10.0,2.0,1.0,4.0,3.0,5.0,7.0,5.0,1.0,3.0,2.0,6.0,4.0,I did not receive an expected change in compensation,U.S. dollars ($),87500.0,Yearly,87500.0,USD,"Jira;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",,,Neither Agree nor Disagree,Agree,Strongly disagree,C;C++;C#;Java;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,Go;Java;JavaScript;Objective-C;SQL;Kotlin;Bash/Shell,MongoDB;SQL Server;PostgreSQL,"Amazon Redshift;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",Android;Google Cloud Platform/App Engine;iOS;Firebase,Android;Arduino,.NET Core;Node.js,Node.js,Android Studio;Eclipse;IntelliJ;Visual Studio Code,MacOS,4,Agile;Extreme programming (XP);Kanban;Pair programming;Scrum,Git,A few times per week,Yes,No,,Somewhat disagree,Somewhat disagree,Somewhat agree,,5.0,1.0,3.0,4.0,6.0,2.0,7.0,Algorithms making important decisions,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Yes,Depends on what it is,Upper management at the company/organization,No,5,A few times per month or weekly,No,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,No,Not at all interested,Not at all interested,A little bit interested,A little bit interested,A little bit interested,Between 6:01 - 7:00 AM,5 - 8 hours,30 - 59 minutes,Never,Ergonomic keyboard or mouse,I don't typically exercise,Male,Straight or heterosexual,Associate degree,White or of European descent,25 - 34 years old,Yes,No,The survey was an appropriate length,Very easy
60924,Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;DevOps specialist;Educator or academic researcher;Front-end developer;Full-stack developer;Mobile developer;System administrator",18-20 years,12-14 years,Slightly dissatisfied,Neither satisfied nor dissatisfied,Working as an engineering manager or other functional manager,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,9.0,6.0,8.0,7.0,2.0,3.0,4.0,1.0,10.0,5.0,1.0,9.0,2.0,6.0,7.0,3.0,10.0,4.0,8.0,11.0,5.0,2.0,1.0,4.0,3.0,5.0,1.0,3.0,4.0,6.0,2.0,5.0,7.0,My job status or other personal status changed,U.S. dollars ($),165000.0,Yearly,165000.0,USD,"Confluence;HipChat;Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;Because I find it enjoyable",Agree,Disagree,Strongly disagree,Go;Objective-C;PHP;Python;R;SQL;TypeScript;HTML;CSS;Bash/Shell,C;C++;Clojure;Go;Haskell;Python;R;Rust;Scala;SQL;HTML;CSS;Bash/Shell,Cassandra;MongoDB;Redis;MySQL;PostgreSQL;MariaDB;Apache Hive;Amazon Redshift;Amazon RDS/Aurora;Google Cloud Storage;Elasticsearch,Redis;PostgreSQL;MariaDB;Amazon RDS/Aurora,Android;Apple Watch or Apple TV;AWS;Heroku;IBM Cloud or Watson;Linux;Mac OS;Serverless;WordPress,Arduino;Heroku;Linux;Mac OS;Serverless,Angular;Hadoop;Node.js;React;Spark,Hadoop,Vim,MacOS,3,Agile;Extreme programming (XP);Kanban;Lean;Scrum,Git,Multiple times per day,No,,,Somewhat agree,Somewhat agree,Strongly disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising;Paid to access a website advertisement-free,2.0,6.0,3.0,1.0,7.0,5.0,4.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions","Evolving definitions of ""fairness"" in algorithmic versus human decisions",,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,Yes,Yes,10 (Very Likely),Yes,Very interested,Somewhat interested,Not at all interested,Very interested,Very interested,Before 5:00 AM,9 - 12 hours,Less than 30 minutes,1 - 2 times per week,Standing desk,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",South Asian,25 - 34 years old,No,No,The survey was an appropriate length,Very easy
61042,Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer,15-17 years,15-17 years,Extremely satisfied,Moderately satisfied,Doing the same work,I am not interested in new job opportunities,More than 4 years ago,10.0,8.0,1.0,7.0,4.0,2.0,9.0,5.0,6.0,3.0,1.0,8.0,2.0,3.0,9.0,5.0,10.0,6.0,7.0,11.0,4.0,,,,,,,,,,,,,I received bad news about the future of my company or department,U.S. dollars ($),135000.0,Yearly,135000.0,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.)",Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",,,Agree,Disagree,Disagree,C++;C#;Java;Python;VB.NET,Lua;Python;VB.NET,Elasticsearch,Elasticsearch,Linux;Windows Desktop or Server,Linux;Windows Desktop or Server,.NET Core;Spark;Spring,.NET Core;Spark,Eclipse;Visual Studio,Windows,2,Agile;Extreme programming (XP);Kanban;Pair programming;Scrum,Git;Subversion,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,1.0,7.0,2.0,3.0,5.0,6.0,4.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",The person who came up with the idea,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,Yes,"No, and I don't know what that is",6,Yes,A little bit interested,A little bit interested,Somewhat interested,A little bit interested,Very interested,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,Never,,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,45 - 54 years old,Yes,No,The survey was an appropriate length,Somewhat easy
61154,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Data scientist or machine learning specialist;Embedded applications or devices developer,3-5 years,3-5 years,Extremely satisfied,Extremely satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,7.0,3.0,1.0,8.0,4.0,6.0,10.0,2.0,9.0,5.0,1.0,3.0,8.0,10.0,5.0,2.0,4.0,9.0,11.0,6.0,7.0,2.0,1.0,5.0,4.0,3.0,6.0,2.0,1.0,5.0,3.0,4.0,7.0,A friend told me about a job opportunity,U.S. dollars ($),110000.0,Yearly,110000.0,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",One to three months,"Taught yourself a new language, framework, or tool without taking a formal course",A college/university computer science or software engineering book,,,Agree,Disagree,Neither Agree nor Disagree,C;Matlab;Python,C;C++;JavaScript;Python;HTML;CSS,,,,,TensorFlow,,Visual Studio Code,Windows,1,Agile;Pair programming,Git;Copying and pasting files to network shares,Once a day,Yes,Yes,The ad-blocking software was causing display issues on a website,Neither agree nor disagree,Somewhat agree,Strongly disagree,Clicked on an online advertisement,6.0,5.0,2.0,3.0,1.0,7.0,4.0,Algorithms making important decisions,Algorithms making important decisions,The developers or the people creating the AI,"I don't care about it, or I haven't thought about it.",Depends on what it is,Depends on what it is,The developer who wrote it,Yes,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",0 (Not Likely),No,Somewhat interested,Not at all interested,Not at all interested,Somewhat interested,Somewhat interested,Between 7:01 - 8:00 AM,Over 12 hours,Less than 30 minutes,Never,,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Somewhat easy
61300,Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer,9-11 years,9-11 years,Moderately satisfied,Extremely satisfied,Working as an engineering manager or other functional manager,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,6.0,2.0,7.0,3.0,1.0,4.0,8.0,5.0,10.0,9.0,1.0,4.0,2.0,6.0,7.0,3.0,8.0,9.0,5.0,10.0,11.0,4.0,1.0,5.0,2.0,3.0,3.0,4.0,1.0,5.0,2.0,7.0,6.0,My job status or other personal status changed,U.S. dollars ($),97000.0,Yearly,97000.0,USD,"Confluence;Jira;Other chat system (IRC, proprietary software, etc.)",Three to six months,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,,,Agree,Disagree,Disagree,C++;Python;VBA;Bash/Shell,C++;Python,,,Linux;Windows Desktop or Server,Linux;Windows Desktop or Server,,,Notepad++;PyCharm;Visual Studio,Windows,3,Agile;Kanban;Pair programming;Scrum,Git,Multiple times per day,Yes,No,,Strongly disagree,Somewhat disagree,Strongly agree,Stopped going to a website because of their advertising,4.0,2.0,1.0,6.0,3.0,7.0,5.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",The person who came up with the idea,Yes,10 (Very Likely),Multiple times per day,Yes,Multiple times per day,Yes,Yes,5,Yes,Not at all interested,Not at all interested,Somewhat interested,Somewhat interested,Somewhat interested,Between 5:00 - 6:00 AM,9 - 12 hours,30 - 59 minutes,Never,,3 - 4 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Very easy
