rank,title,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid
49,ไพ่เท็กซัสโบย่า-Boyaa Texas Poker โป๊กเกอร์มือโปร,210708,5.0 M,4.49,0.1,0.3,0.0,GAME CASINO,160491,22448,10939,3583,13245,False
78,Zombie World War,560947,10.0 M,4.21,0.0,0.0,0.0,GAME ARCADE,343285,94364,61079,20066,42150,False
35,Word Crack,383045,10.0 M,3.74,0.4,1.4,0.0,GAME WORD,176250,87530,32972,15216,71074,False
66,Slotpark - Online Casino Games & Free Slot Machine,167140,5.0 M,4.31,1.5,3.2,0.0,GAME CASINO,119330,18420,8458,3905,17025,False
63,Çanak Okey - Mynet,175678,5.0 M,4.09,0.2,0.3,0.0,GAME BOARD,123134,10298,7945,4302,29998,False
61,Sudoku,582899,10.0 M,4.72,0.1,0.2,0.0,GAME PUZZLE,457223,106444,10094,2599,6537,False
45,Rider,1062728,50.0 M,3.96,0.9,2.1,0.0,GAME ARCADE,619359,142736,94505,49800,156326,False
58,Real Drift Car Racing Lite,512412,10.0 M,4.42,0.1,0.2,0.0,GAME RACING,381140,52953,30070,10827,37419,False
54,Terraria,317546,1.0 M,4.65,1.0,2.3,4.99,GAME ADVENTURE,264563,24837,10184,4387,13572,True
73,Slots: Get Rich Free Slots Casino Games Offline,137907,1.0 M,4.79,0.6,1.6,0.0,GAME CASINO,125159,5459,2319,1049,3919,False
85,Chess Rush,327841,5.0 M,3.85,0.6,1.4,0.0,GAME STRATEGY,192287,35797,22025,14620,63109,False
1,كلمات كراش - لعبة تسلية وتحدي من زيتونة,2314831,10.0 M,4.71,2.5,5.4,0.0,GAME WORD,2032320,98719,65303,30091,88396,False
85,Arena of Valor: 5v5 Arena Game,954496,10.0 M,3.59,0.5,1.0,0.0,GAME ACTION,503466,101889,58476,32023,258640,False
37,Snakes & Ladders King,302263,50.0 M,3.95,0.1,0.3,0.0,GAME BOARD,189211,25983,21594,13746,51726,False
98,Injustice 2,798721,10.0 M,4.2,0.8,1.5,0.0,GAME ACTION,530371,103622,49763,25205,89758,False
97,Cat Runner: Decorate Home,300560,100.0 M,4.18,4.3,11.4,0.0,GAME ROLE PLAYING,212457,22406,14084,11138,40472,False
82,Baby Panda’s Color Mixing Studio,55852,10.0 M,4.12,0.9,2.1,0.0,GAME EDUCATIONAL,38852,3756,2630,2152,8460,False
39,Two Dots,918824,10.0 M,4.39,1.2,2.2,0.0,GAME PUZZLE,624787,163218,54136,20919,55761,False
12,Gin Rummy Plus,552246,10.0 M,4.49,0.9,2.5,0.0,GAME CARD,423267,57548,24886,10084,36459,False
54,Blitz Brigade - Online FPS fun,1598893,10.0 M,3.93,0.0,0.0,0.0,GAME ACTION,999022,145747,98957,53783,301381,False
91,Central Hospital Stories,50523,10.0 M,3.71,5.6,13.6,0.0,GAME EDUCATIONAL,28316,4216,3837,3368,10784,False
41,Club Vegas 2021: New Slots Games & Casino bonuses,272210,5.0 M,4.73,6.9,16.5,0.0,GAME CASINO,237403,17220,6387,2523,8674,False
67,Checkers,162168,10.0 M,4.47,0.0,0.0,0.0,GAME BOARD,115060,26941,9353,2808,8004,False
72,Moy 3 🐙 Virtual Pet Game,603317,10.0 M,4.49,0.0,0.1,0.0,GAME CASUAL,462873,58916,33280,11739,36507,False
24,Manor Cafe,1187816,10.0 M,4.56,1.3,3.1,0.0,GAME PUZZLE,884715,176502,68220,18276,40100,False
87,Au 2 - Chuẩn Audition Mobile,44633,1.0 M,4.29,4.1,5.6,0.0,GAME MUSIC,33434,2851,1774,1047,5524,False
20,Wizard of Oz Free Slots Casino,477941,10.0 M,4.59,0.7,1.6,0.0,GAME CASINO,374056,56431,20691,7809,18953,False
34,PES CLUB MANAGER,1021104,10.0 M,4.09,0.5,0.8,0.0,GAME SPORTS,650483,127851,66627,36368,139772,False
18,Pet Rescue Saga,3465392,100.0 M,4.59,0.1,0.2,0.0,GAME CASUAL,2718524,398371,151104,54872,142518,False
38,Game of Dice,294708,5.0 M,4.27,0.2,0.4,0.0,GAME BOARD,194903,45471,19753,8702,25877,False
57,Truco ZingPlay: Jogo de cartas online grátis,155284,1.0 M,4.33,0.2,0.6,0.0,GAME CARD,117610,10123,6545,3872,17131,False
41,"Math Exercises for the brain, Math Riddles, Puzzle",96204,5.0 M,4.54,3.5,6.7,0.0,GAME EDUCATIONAL,72413,13229,4889,1527,4145,False
13,NBA LIVE Mobile Basketball,2369845,50.0 M,4.16,0.4,1.0,0.0,GAME SPORTS,1558217,301703,138521,76059,295342,False
12,Gangstar Vegas: World of Crime,6203689,100.0 M,4.3,0.5,1.1,0.0,GAME ACTION,4466149,597997,313912,165629,660000,False
69,Jalebi - A Desi Adda With Ludo Snakes & Ladders,177584,10.0 M,4.27,0.9,2.0,0.0,GAME WORD,123035,19640,11632,5981,17294,False
38,Shoot Bubble Deluxe,923937,100.0 M,4.47,0.0,0.1,0.0,GAME PUZZLE,691288,101760,57007,19062,54818,False
3,Traffic Rider,7501902,100.0 M,4.34,0.5,1.0,0.0,GAME RACING,5359930,847047,446637,207638,640648,False
8,Jetpack Joyride,4908222,100.0 M,4.47,0.1,0.2,0.0,GAME ARCADE,3674764,565801,269632,91959,306063,False
38,Jungle Heat: War of Clans,828185,10.0 M,4.24,0.0,0.0,0.0,GAME STRATEGY,577994,84835,49069,21193,95092,False
41,Scrabble® GO - New Word Game,333183,10.0 M,3.9,2.6,8.6,0.0,GAME WORD,184234,49811,27628,23020,48486,False
59,Matches Puzzle Game,594008,10.0 M,4.46,0.1,0.3,0.0,GAME PUZZLE,410616,105829,40728,11222,25611,False
49,Words Crush: Hidden Words!,283775,5.0 M,4.52,0.0,0.0,0.0,GAME WORD,194084,61334,18115,3393,6847,False
78,애니팡 맞고,116242,1.0 M,3.74,0.6,0.5,0.0,GAME CARD,58449,17142,13257,6354,21037,False
77,Brain It On! - Physics Puzzles,490669,50.0 M,4.28,0.1,0.2,0.0,GAME PUZZLE,319778,82382,31983,16976,39547,False
52,Driving School 2017,629925,10.0 M,4.33,0.5,1.0,0.0,GAME RACING,454155,67146,32813,16386,59422,False
29,Cookie Jam™ Match 3 Games | Connect 3 or More,1094743,50.0 M,4.52,0.4,0.8,0.0,GAME PUZZLE,784933,192695,59435,19539,38139,False
18,Fast Racing 3D,1846774,100.0 M,4.38,0.0,0.1,0.0,GAME RACING,1328780,205957,132587,43542,135905,False
5,Angry Birds Epic RPG,2651402,10.0 M,4.55,0.0,0.0,0.0,GAME ROLE PLAYING,2095189,255607,105070,42048,153486,False
91,Happy Piano - Touch Music,42710,1.0 M,4.41,0.1,0.1,0.0,GAME MUSIC,31760,3990,2750,1070,3140,False
43,Zombie Roadkill 3D,1080391,50.0 M,4.25,0.4,0.7,0.0,GAME ARCADE,744528,117072,73852,36326,108610,False
63,Urban City Stories,68459,10.0 M,3.72,8.4,19.5,0.0,GAME EDUCATIONAL,37348,6888,5883,4611,13727,False
10,Cytus,570211,5.0 M,4.58,0.1,0.2,0.0,GAME MUSIC,463716,47774,17694,9966,31059,False
11,Matchington Mansion,1906447,50.0 M,4.42,1.2,2.8,0.0,GAME PUZZLE,1364427,260791,114971,48376,117879,False
99,Zooba: Free-for-all Zoo Combat Battle Royale Games,778052,10.0 M,4.01,4.7,10.2,0.0,GAME ACTION,490242,81135,53964,31174,121535,False
31,Trials Frontier,1118526,10.0 M,4.28,0.0,0.1,0.0,GAME RACING,766927,142855,71542,32533,104666,False
39,Turbo Stars,813695,50.0 M,4.44,2.4,5.6,0.0,GAME RACING,621058,72494,40399,19191,60550,False
15,DragonFlight,2871537,10.0 M,4.24,0.0,0.0,0.0,GAME ARCADE,1804118,477658,288402,88729,212627,False
22,Baby Panda's Fashion Dress Up Game,142956,50.0 M,4.24,3.3,7.8,0.0,GAME EDUCATIONAL,105098,8693,6007,4956,18200,False
50,Mango Capsa Susun,173896,5.0 M,3.63,0.2,0.5,0.0,GAME CARD,97021,13857,10667,6218,46130,False
36,Real Steel World Robot Boxing,2360988,50.0 M,4.5,0.1,0.2,0.0,GAME ACTION,1848725,211200,101098,42008,157954,False
17,Asphalt 9: Legends - Epic Car Action Racing Game,2019802,50.0 M,4.46,1.7,4.0,0.0,GAME RACING,1547127,199603,81701,40086,151283,False
26,PewDiePie's Tuber Simulator,1997711,10.0 M,4.68,0.1,0.3,0.0,GAME CASUAL,1672089,178085,53931,21287,72317,False
18,World Soccer League,1913145,100.0 M,4.27,2.1,4.2,0.0,GAME SPORTS,1368588,171295,107679,58643,206939,False
96,Train Station 2: Railroad Tycoon & City Simulator,280496,10.0 M,4.46,6.2,14.3,0.0,GAME STRATEGY,193460,52062,17426,6218,11326,False
59,Badminton League,516578,50.0 M,4.02,1.1,2.2,0.0,GAME SPORTS,325530,53747,37366,22713,77220,False
47,Angry Birds Friends,1045888,100.0 M,4.19,0.9,2.0,0.0,GAME ARCADE,707099,115037,66960,33899,122890,False
13,Tap Titans,1344882,10.0 M,4.79,0.0,0.0,0.0,GAME ROLE PLAYING,1207169,67472,25539,9616,35085,False
38,Real Football,896639,50.0 M,3.75,0.6,1.2,0.0,GAME SPORTS,499764,91218,72895,43320,189440,False
49,ラブライブ！スクールアイドルフェスティバル（スクフェス） - 大人気リズムゲーム,105886,1.0 M,4.29,0.0,0.1,0.0,GAME MUSIC,73633,12237,6638,3819,9557,False
29,Racing in Car,1295610,50.0 M,4.25,0.1,0.1,0.0,GAME RACING,882179,140724,108728,37152,126825,False
68,Shopping Mall Girl - Dress Up & Style Game,640188,50.0 M,4.17,0.9,2.0,0.0,GAME CASUAL,440544,54234,38730,25077,81600,False
86,한게임 신맞고 : 대한민국 원조 고스톱,105591,1.0 M,3.95,1.0,2.7,0.0,GAME CARD,62320,14376,7997,3364,17531,False
73,Cinderella - Story Games and Puzzles,61666,1.0 M,4.21,0.2,0.3,0.0,GAME EDUCATIONAL,43238,5403,3316,2017,7690,False
69,Reactor ☢️ - Idle Manager- Energy Sector Tycoon,395798,5.0 M,4.54,2.0,3.2,0.0,GAME STRATEGY,292407,58977,23477,7118,13817,False
57,Piano Master 2,86709,10.0 M,4.19,0.0,0.0,0.0,GAME MUSIC,56157,12078,6433,3226,8811,False
60,Heads Up!,220723,10.0 M,3.57,0.1,0.3,0.0,GAME WORD,114295,23794,14067,9767,58797,False
68,Solitaire,138404,10.0 M,4.62,1.8,4.1,0.0,GAME CARD,111502,14062,5380,2108,5350,False
9,Empires & Puzzles: Epic Match 3,2074052,50.0 M,4.22,0.9,2.1,0.0,GAME PUZZLE,1417867,226409,127046,72836,229891,False
89,Bubble Shooter,481652,100.0 M,4.32,0.7,1.5,0.0,GAME CASUAL,352612,64166,35874,15964,41359,False
85,Word Trek - Word Brain streak - hand made puzzles,143865,5.0 M,4.46,0.0,0.0,0.0,GAME WORD,94569,31779,11088,2545,3882,False
24,FINAL FANTASY BRAVE EXVIUS,823018,10.0 M,4.2,0.2,0.3,0.0,GAME ROLE PLAYING,527834,132491,51164,25182,86344,False
21,Bubble Witch 2 Saga,2951211,100.0 M,4.55,0.1,0.1,0.0,GAME CASUAL,2181705,442742,186683,45095,94983,False
99,Decisions: Choose Your Interactive Love Story,297258,10.0 M,4.2,3.2,7.8,0.0,GAME ROLE PLAYING,195836,36696,23130,11455,30137,False
73,Word Find - Word Connect Free Offline Word Games,171275,10.0 M,4.64,3.0,6.4,0.0,GAME WORD,135499,20918,8300,2149,4406,False
99,Mini Block Craft,437733,50.0 M,4.09,3.9,8.2,0.0,GAME CASUAL,295802,35475,23095,15168,68191,False
16,Hidden City: Hidden Object Adventure,1062176,10.0 M,4.36,0.3,0.6,0.0,GAME ADVENTURE,662101,230824,100375,26908,41965,False
14,Jackpot Slot Machines - Slots Era™ Vegas Casino,638226,5.0 M,4.56,0.9,1.7,0.0,GAME CASINO,467998,104943,37982,7955,19345,False
35,Angry Birds Space,1254488,100.0 M,4.43,0.2,0.3,0.0,GAME ARCADE,921296,142403,80546,32192,78048,False
98,FINAL FANTASY Record Keeper,297467,1.0 M,4.1,0.0,0.1,0.0,GAME ROLE PLAYING,139765,90397,40260,10035,17008,False
43,Nope Quiz,120815,1.0 M,4.38,0.0,0.0,0.0,GAME TRIVIA,85750,16210,6733,2803,9317,False
67,aquapark.io,1224373,100.0 M,4.08,1.2,3.1,0.0,GAME ACTION,796909,123482,78967,49174,175839,False
77,Word Search,157695,10.0 M,4.24,1.3,2.7,0.0,GAME WORD,103539,23263,11163,5417,14310,False
78,Indian Train Simulator,450705,10.0 M,4.04,0.9,1.7,0.0,GAME SIMULATION,284990,49372,31347,20301,64693,False
78,The Higher Lower Game,57935,5.0 M,3.72,0.4,0.7,0.0,GAME TRIVIA,25087,12363,8489,3125,8868,False
80,Stupid Zombies 3,529462,10.0 M,4.46,0.2,0.4,0.0,GAME CASUAL,391151,63222,33625,11914,29547,False
59,Fun 101 Okey,186288,5.0 M,4.5,1.6,2.9,0.0,GAME BOARD,156286,6201,3021,1814,18963,False
26,Eyes: Scary Thriller - Creepy Horror Game,654364,10.0 M,4.4,1.0,1.9,0.0,GAME ADVENTURE,487793,64046,32508,16549,53467,False
62,Slots Free - Big Win Casino™,173372,5.0 M,4.44,0.0,48.1,0.0,GAME CASINO,126641,21236,10953,4057,10483,False
58,Guess the Logo: Multiple Choice Quiz,85605,10.0 M,3.91,0.1,0.3,0.0,GAME TRIVIA,47779,11929,8363,5532,11999,False
63,The Simpsons™: Tapped Out,665015,10.0 M,4.4,0.0,0.1,0.0,GAME CASUAL,484377,78121,35161,17295,50058,False
45,Army Men Strike - Military Strategy Simulator,672510,10.0 M,4.14,0.4,0.8,0.0,GAME STRATEGY,419583,102399,53691,21212,75623,False
44,Pro des Mots,311348,10.0 M,4.57,1.5,3.1,0.0,GAME WORD,225566,59308,14486,3673,8313,False
98,Terrarium: Garden Idle,384264,5.0 M,4.65,1.3,2.5,0.0,GAME SIMULATION,312380,38777,15048,6497,11560,False
37,4 фотки 1 слово,372118,10.0 M,4.44,0.3,0.7,0.0,GAME WORD,277984,40882,18632,7912,26705,False
64,Tentacle Wars ™,418625,1.0 M,4.29,0.2,0.5,0.0,GAME STRATEGY,249548,93332,43318,11181,21244,False
47,Bubble Blast 2,699296,10.0 M,4.36,0.0,0.0,0.0,GAME PUZZLE,458377,129816,50961,23169,36970,False
20,War Robots. 6v6 Tactical Multiplayer Battles,4193941,50.0 M,4.0,0.3,0.7,0.0,GAME ACTION,2635805,449195,262329,160045,686564,False
64,Golf Star™,457484,10.0 M,4.1,0.0,0.1,0.0,GAME SPORTS,271577,85182,31703,14203,54816,False
46,My Dolphin Show,932651,50.0 M,4.34,0.5,1.3,0.0,GAME CASUAL,670484,97397,56072,26616,82079,False
58,Harry Potter: Wizards Unite,313922,10.0 M,3.63,0.4,0.7,0.0,GAME ADVENTURE,150171,48370,29450,20523,65406,False
9,Solitaire,648144,50.0 M,4.23,0.0,0.0,0.0,GAME CARD,408570,47577,16761,6353,18469,False
16,The Simpsons™: Tapped Out,4073314,100.0 M,4.13,0.1,0.2,0.0,GAME CASUAL,2656080,485913,255723,140120,535476,False
46,Lep's World 🍀,1053975,100.0 M,4.4,1.3,2.7,0.0,GAME ARCADE,804810,81852,47679,27860,91772,False
4,Parchisi STAR Online,2063204,50.0 M,4.32,1.7,3.3,0.0,GAME BOARD,1525492,174590,91167,46972,224980,False
20,Drum Set Music Games & Drums Kit Simulator,251604,10.0 M,3.66,0.6,1.2,0.0,GAME MUSIC,141255,21716,15483,8830,64319,False
70,Modern Sniper,1189784,50.0 M,4.11,0.3,0.5,0.0,GAME ACTION,774203,124707,92187,46678,152006,False
77,FRAG Pro Shooter,1038486,50.0 M,4.37,4.2,9.1,0.0,GAME ACTION,779321,84895,47933,28968,97366,False
24,Pool Billiards Pro,1473444,100.0 M,4.34,0.1,0.3,0.0,GAME SPORTS,1018895,187338,121516,37415,108277,False
58,SuperStar JYPNATION,84491,1.0 M,4.24,2.0,3.2,0.0,GAME MUSIC,57200,10366,5288,2958,8677,False
1,Garena Free Fire - The Cobra,80678661,500.0 M,4.33,2.9,7.9,0.0,GAME ACTION,61935712,4478738,2795172,1814999,9654037,False
26,Bubble Shooter: Panda Pop!,1154770,50.0 M,4.55,0.3,0.6,0.0,GAME PUZZLE,875306,158160,54566,19406,47329,False
94,Cooking Dash,458061,10.0 M,4.14,0.1,0.2,0.0,GAME CASUAL,279121,72996,41816,20633,43494,False
68,Sky Whale,658778,10.0 M,4.36,0.2,0.4,0.0,GAME ARCADE,482649,62720,37136,17205,59065,False
96,BLOOD & GLORY,799803,10.0 M,3.83,0.0,0.0,0.0,GAME ACTION,487636,76830,33821,18264,183249,False
15,Clash of Lords 2: Guild Castle,1709336,10.0 M,4.27,0.0,0.0,0.0,GAME STRATEGY,1218013,156985,101397,35280,197659,False
88,Wood Block Puzzle - Free Classic Block Puzzle Game,458999,10.0 M,4.52,7.8,17.8,0.0,GAME PUZZLE,310590,99765,33641,5106,9895,False
48,Boxing Star,730171,10.0 M,4.42,1.1,2.2,0.0,GAME SPORTS,524546,102085,39971,15137,48431,False
33,من سيربح المليون الموسوعة,119793,10.0 M,4.22,3703.0,3.9,0.0,GAME EDUCATIONAL,88505,5954,5186,3600,16546,False
80,اشبكها - لعبة تسلية وتفكير,151509,1.0 M,4.65,0.8,1.9,0.0,GAME WORD,127732,9049,6585,2504,5637,False
25,Dungeon Hunter 5 – Action RPG,764089,10.0 M,3.93,0.0,0.1,0.0,GAME ROLE PLAYING,452458,95918,54237,30113,131360,False
8,Free Trivia Game. Questions & Answers. QuizzLand.,645513,10.0 M,4.74,3.6,9.8,0.0,GAME TRIVIA,562389,43881,13917,7098,18226,False
68,Bud Farm: Grass Roots,571717,10.0 M,4.68,0.1,0.2,0.0,GAME SIMULATION,465050,68241,16339,6364,15721,False
25,My Story: Choose Your Own Path,1106294,10.0 M,3.95,0.3,0.8,0.0,GAME SIMULATION,620225,164958,116433,56032,148644,False
51,Respawnables – Online PVP Battles,1653621,10.0 M,4.21,0.1,0.2,0.0,GAME ACTION,1168969,143216,81504,45844,214085,False
69,Trip to the zoo for kids,62539,5.0 M,4.58,0.0,0.1,0.0,GAME EDUCATIONAL,50570,5095,2667,959,3246,False
30,Real Cricket™ 20,1112243,10.0 M,4.22,2.1,4.1,0.0,GAME SPORTS,746459,140841,69957,32913,122070,False
60,Real Boxing – Fighting Game,516549,10.0 M,4.19,0.2,0.4,0.0,GAME SPORTS,339212,66763,36424,17507,56640,False
98,Dr. Gomoku,92307,5.0 M,3.94,0.1,0.2,0.0,GAME BOARD,51992,14387,8518,3209,14198,False
61,1945 airforce - Free arcade shooting games,771705,50.0 M,4.53,8.1,17.3,0.0,GAME ARCADE,570768,110631,47089,14176,29038,False
83,Energy: Anti Stress Loops,468070,10.0 M,4.73,2.5,6.6,0.0,GAME PUZZLE,387141,56288,12483,4256,7899,False
31,CATS: Crash Arena Turbo Stars,2644544,50.0 M,4.36,0.4,1.0,0.0,GAME ACTION,1934943,269099,131665,67872,240963,False
79,Guardian Hunter: SuperBrawlRPG [Online],366181,1.0 M,4.35,0.0,0.1,0.0,GAME ROLE PLAYING,249473,56087,24885,9065,26668,False
11,TVSMILES - Quiz and Prizes,407061,1.0 M,4.47,0.0,0.0,0.0,GAME TRIVIA,292482,61524,25561,7184,20307,False
55,"Colorscapes - Color by Number, Coloring Games",198534,10.0 M,4.73,6.5,13.9,0.0,GAME BOARD,175060,9717,4744,2486,6524,False
55,PAC-MAN,853988,100.0 M,3.95,0.3,0.5,0.0,GAME ARCADE,513457,98544,66342,39913,135730,False
41,Trial Xtreme 4: Extreme Bike Racing Champions,733129,50.0 M,4.04,0.2,0.4,0.0,GAME RACING,458839,86710,52508,28653,106416,False
100,Shoot Goal ⚽️ Football Stars Soccer Games 2021,260200,10.0 M,4.12,0.2,0.5,0.0,GAME SPORTS,173899,24732,16774,8756,36035,False
51,"Good Pizza, Great Pizza",866289,50.0 M,4.37,2.8,6.0,0.0,GAME CASUAL,613728,112173,52293,24120,63971,False
96,Moy 5 - Virtual Pet Game,455667,10.0 M,4.34,0.3,0.6,0.0,GAME CASUAL,334313,41595,24035,13331,42391,False
98,Cuanto Sabes de la Biblia,43202,500.0 k,4.77,1.9,4.7,0.0,GAME TRIVIA,37262,3687,1255,418,578,False
85,LG Smart Truco,106005,5.0 M,4.19,0.2,0.5,0.0,GAME CARD,68699,14918,7598,3874,10914,False
19,Idle Heroes,894415,10.0 M,4.52,1.0,2.4,0.0,GAME ROLE PLAYING,711091,75560,29620,14436,63706,False
94,Grepolis - Divine Strategy MMO,288609,5.0 M,4.27,0.1,0.3,0.0,GAME STRATEGY,179652,58858,19599,8091,22406,False
38,Texas Hold'em & Omaha Poker: Pokerist,243022,10.0 M,4.06,0.5,1.2,0.0,GAME CARD,158710,26096,11836,6062,40315,False
16,Poker Games: World Poker Club,488591,10.0 M,4.51,0.8,1.9,0.0,GAME CARD,399382,31069,9279,6049,42809,False
73,Real Racing 3,410324,10.0 M,4.39,0.2,0.5,0.0,GAME RACING,294296,54246,19382,10440,31958,False
40,Dot n Beat - Test your hand speed,123392,10.0 M,3.96,0.9,2.4,0.0,GAME MUSIC,74005,13612,10826,6381,18566,False
85,Stick Cricket Premier League,334400,5.0 M,4.21,0.1,0.2,0.0,GAME SPORTS,218684,48933,21412,9093,36275,False
17,Block Craft 3D: Building Simulator Games For Free,2074061,100.0 M,4.2,2.0,4.3,0.0,GAME ARCADE,1446547,184093,111238,69112,263070,False
34,Tycoon Casino Free Slots: Vegas Slot Machine Games,326484,5.0 M,4.74,1.0,2.1,0.0,GAME CASINO,288491,16223,6933,3226,11608,False
5,Plants vs. Zombies FREE,5098445,100.0 M,4.33,0.6,1.3,0.0,GAME STRATEGY,3670080,527372,279328,140383,481280,False
7,UNO!™,863446,50.0 M,4.16,2.6,6.2,0.0,GAME CARD,593833,78143,46322,27757,117389,False
93,Jogo da Forca,126068,10.0 M,4.24,0.0,0.0,0.0,GAME WORD,84188,16537,9233,3647,12460,False
67,Bike Mayhem Free,430958,10.0 M,4.18,0.4,0.8,0.0,GAME RACING,291497,44845,28301,15304,51008,False
9,Temple Run,4744985,500.0 M,4.08,0.6,1.3,0.0,GAME ARCADE,3113811,440122,318588,203728,668734,False
93,Vegas Downtown Slots™ - Slot Machines & Word Games,102312,1.0 M,4.45,0.0,0.0,0.0,GAME CASINO,76788,11130,5196,2333,6862,False
84,MARVEL Puzzle Quest: Join the Super Hero Battle!,349814,10.0 M,4.19,0.3,0.6,0.0,GAME ROLE PLAYING,220377,57509,24118,13168,34639,False
57,Monster Trucks Game for Kids 2,75365,50.0 M,3.99,2.9,5.5,0.0,GAME EDUCATIONAL,48466,6017,4752,3586,12542,False
15,Candy Crush Jelly Saga,1634573,100.0 M,4.49,0.6,1.3,0.0,GAME PUZZLE,1186794,242888,99069,30809,75009,False
88,War Heroes: Strategy Card Game for Free,319023,10.0 M,4.27,0.1,0.3,0.0,GAME STRATEGY,234541,22186,14917,9026,38351,False
59,Fairway Solitaire - Card Game,152574,5.0 M,4.57,1.0,1.8,0.0,GAME CARD,113812,23950,7325,2352,5132,False
14,Piano Music Go 2020: EDM Piano Games,374105,50.0 M,4.37,2.1,4.9,0.0,GAME MUSIC,275763,36288,19470,10782,31799,False
21,BEAT MP3 - Rhythm Game,239614,10.0 M,3.98,0.0,0.0,0.0,GAME MUSIC,135664,33533,30275,10115,30025,False
12,Huuuge Casino Slots - Best Slot Machines,747773,10.0 M,4.3,0.7,1.5,0.0,GAME CASINO,525806,87637,42055,19254,73019,False
68,Toon Cup 2020 - Cartoon Network's Football Game,445534,50.0 M,4.06,1.3,2.5,0.0,GAME SPORTS,300285,33292,24292,15712,71949,False
23,Nitro Nation Drag & Drift Car Racing,1501601,10.0 M,4.52,0.5,1.2,0.0,GAME RACING,1145978,182946,63576,25434,83665,False
86,Evil Nun : Scary Horror Game Adventure,479556,10.0 M,4.38,1.8,4.2,0.0,GAME ARCADE,365442,36401,18912,11536,47261,False
2,"Asphalt 8 Racing Game - Drive, Drift at Real Speed",9501337,100.0 M,4.3,0.2,0.5,0.0,GAME RACING,6879557,924364,429335,234006,1034071,False
17,Online Soccer Manager (OSM) - 20/21,1973922,10.0 M,4.41,1.0,1.8,0.0,GAME SPORTS,1450422,234305,95634,40048,153511,False
82,Bricks Ball Crusher,502155,10.0 M,4.4,3.2,7.0,0.0,GAME ARCADE,378387,43851,25859,11740,42316,False
39,A LINE Rangers/Crayon Shinchan tower defense RPG!,2128244,10.0 M,4.35,0.1,0.4,0.0,GAME ACTION,1513093,250067,139165,47434,178483,False
21,Escape Titanic,1265114,10.0 M,4.48,0.0,0.0,0.0,GAME PUZZLE,981074,108621,62945,22538,89934,False
86,Real Gangster Crime,940558,100.0 M,4.14,2.9,6.4,0.0,GAME ACTION,653656,70047,48180,35763,132909,False
62,Marble Legend,571518,50.0 M,4.29,0.0,0.0,0.0,GAME PUZZLE,383781,73625,55331,16114,42665,False
97,Wordox – Free multiplayer word game,120476,1.0 M,4.21,0.0,0.1,0.0,GAME WORD,74010,21546,10648,4710,9560,False
46,Bini Super ABC! Preschool Learning Games for Kids!,85076,10.0 M,4.49,3.4,7.0,0.0,GAME EDUCATIONAL,64689,9702,3577,1883,5223,False
43,Absolute Bingo- Free Bingo Games Offline or Online,219712,10.0 M,4.61,2.0,4.2,0.0,GAME CARD,172564,27565,9081,3057,7443,False
33,Word Search,390189,50.0 M,4.46,0.1,0.2,0.0,GAME WORD,278688,96149,40350,11577,28852,False
77,Piano Fire - EDM Music & New Rhythm,53605,5.0 M,4.61,63.4,325.8,0.0,GAME MUSIC,44877,3246,1772,934,2774,False
7,Draw Something Classic,1127320,50.0 M,4.19,0.0,0.1,0.0,GAME WORD,632838,270042,106636,36654,81148,False
90,World Chess Championship,99924,5.0 M,4.22,0.4,0.7,0.0,GAME BOARD,67221,12430,6504,2823,10944,False
46,Game of Sultans,504405,10.0 M,3.85,1.1,2.4,0.0,GAME ROLE PLAYING,295070,54216,36963,22038,96115,False
72,Vampire's Fall: Origins RPG,389176,5.0 M,4.58,2.4,5.9,0.0,GAME ROLE PLAYING,290167,64286,17766,5138,11817,False
35,Spin of Fortune - Quiz,150300,10.0 M,4.25,0.6,1.4,0.0,GAME TRIVIA,100127,20350,11117,5256,13448,False
25,Drive Ahead!,1436201,50.0 M,4.19,0.9,1.9,0.0,GAME RACING,995071,128217,81450,48044,183416,False
28,Order & Chaos Duels,311766,1.0 M,4.35,0.0,0.1,0.0,GAME CARD,205329,59547,18575,7013,21299,False
92,Cash Blitz Free Slots: Casino Slot Machine Games,102726,1.0 M,4.81,6.1,14.2,0.0,GAME CASINO,93248,4887,1510,764,2314,False
18,超級單字王 - 英檢、多益、托福 輕鬆學,156922,500.0 k,4.91,0.6,1.5,0.0,GAME EDUCATIONAL,148058,6185,1428,369,879,False
97,Homicide Squad: New York Cases,174459,1.0 M,4.46,2.2,4.6,0.0,GAME ADVENTURE,115451,35716,15616,3101,4572,False
52,Solitaire,172214,5.0 M,4.63,0.2,0.4,0.0,GAME CARD,120414,24300,4744,1166,2870,False
28,Word Academy,444851,5.0 M,4.49,0.2,0.3,0.0,GAME WORD,279022,118839,37272,3970,5746,False
41,MARVEL Strike Force - Squad RPG,535690,10.0 M,3.79,2.1,4.5,0.0,GAME ROLE PLAYING,286540,75309,38217,46234,89388,False
61,Word Search Quest - Free Word Puzzle Game,216274,10.0 M,4.62,3.6,8.0,0.0,GAME WORD,168112,30371,7879,2789,7122,False
64,Slots Casino - Jackpot Mania,169473,5.0 M,4.66,0.3,0.6,0.0,GAME CASINO,144188,10372,4778,2160,7973,False
