name,ID,SEX,ALIVE,COMPANY,ALIGN
J.A.K.E. II (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Richard Raleigh (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Michael Payson Maxwell (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Simyan (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Bulldozer Smith (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Ona Tornsen (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Forager I (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Rebecca Langstrom (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Gilotina (New Earth),Secret Identity,Female Characters,Living Characters,DC,Bad Characters
Mara (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Rita Lopez (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Cerdian (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Ignition (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Mario Falcone (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Neutral Characters
Byron Stark (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Alberto Falcone (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Bad Characters
Deborah Perkins (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Kaliber II (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Sonar III (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
David Hersch (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Manchester Black (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Bad Characters
Alexandra DeWitt (New Earth),Public Identity,Female Characters,Deceased Characters,DC,Good Characters
Alice Cohen II (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Thomas Jagger (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Lady Styx (New Earth),Public Identity,Female Characters,Living Characters,DC,Bad Characters
Markus Clay (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Xylon (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Vandor (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Edward Walker (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Maude Stone (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Dennis Burton (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Hadley Jaggar (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Jonathan Cheval (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Bad Characters
Rose Canton (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Bad Characters
Herupa Hando Hu (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Jackie Johnson (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Ira West (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Axel Storm (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Roger Denning (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Fisherman (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Bad Characters
Tamara Devoux (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Drusilla (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
James Wa (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Katherine Farrell (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Isaiah Bradley (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Lorelei Travis (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Praxagora (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Good Characters
Profile (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Hui Lin (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
George Tarleton (M.O.D.O.K. Superior) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Aleksandra Nikolaevna (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Bad Characters
Screwball (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Adam Brashear (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Annie (LMD) (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Snake-Oil (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Gunbunny (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Bad Characters
Samuel Foswell (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Ivan Illyich Gort (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Scott Fischer (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Darius (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Melody Case (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Jonni Thunder (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Alan Welles (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Neutral Characters
Christopher Weiss (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Bad Characters
Elizabeth Alderman (New Earth),Public Identity,Female Characters,Deceased Characters,DC,Bad Characters
Brute (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Gaea (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Tala (New Earth),Public Identity,Female Characters,Living Characters,DC,Bad Characters
Val Kaliban (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Bad Characters
Galius Zed (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Duarmzshee-Paan (New Earth),Public Identity,Female Characters,Deceased Characters,DC,Bad Characters
Ahti (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Tucker Stone (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Shakedown (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Bad Characters
Kate Godwin (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Good Characters
Kelvin Mao (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Nakia (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Bad Characters
Clay Kendall (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Edward McDonough (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Victor Frankenstein (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Scintilla (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Rick Rojatt (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Maria Carbonell (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Hobgoblin (Imperial Guard) (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Byron Calley (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Astra (Imperial Guard) (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Agamotto (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Linda Littletrees (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Thulsa Doom (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Patricia Starr (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Denise Baranger (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Bad Characters
Josef Saint (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Amahl Farouk (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Ferdinand Lopez (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Stephen Beckley (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Mick (son of Ruby) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Craig Saunders Jr. (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Abraham Kieros (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Eitri (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Luke Merriweather (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
James McDonald (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Victoria Star (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Flying Tiger (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Darren Bentley (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Victor Strange (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Prometheus (Pantheon) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Ginger Beach (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Nathan Taylor (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Edward Dyson (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Leona McBride (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Michael Jeffries (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Good Characters
George Baker (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Thor Odinson (Heroes Reborn) (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Mephista (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Meryet Karim (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Jane Hastings (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Brian Dunlap (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Dreamqueen (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Bad Characters
Warren Worthington Jr. (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Richard Jones (Phantom Reporter) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Kathryn Worthington (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Good Characters
"Nick Lewis, Sr. (Earth-616)",Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Socko Swenski (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Roddy Colt (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Bruce Wayne Clone (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Bad Characters
Plunder (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Leslie Willis (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Peter Garibaldi (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Alexander Montez (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Neutral Characters
Trevor Barnes (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Brainiac 13 (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Bad Characters
Munchukk (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Garn Daanuth (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Jack of Spades III (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Malet Dasim (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Kari Limbo (New Earth),Public Identity,Female Characters,Deceased Characters,DC,Good Characters
Katherine Manser (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Good Characters
Gregori Arcane (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Starbreaker (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Cleveland Brand (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Neutral Characters
Edward Dawson (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Urania Blackwell (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Good Characters
Nameless (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Good Characters
Slim Kilkenny Stryker (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Karin Grace (New Earth),Public Identity,Female Characters,Deceased Characters,DC,Bad Characters
Thomas Curry (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Gudra (New Earth),Secret Identity,Female Characters,Living Characters,DC,Bad Characters
Turtle (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Julie Madison (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Lancelot (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Daniel Cormac (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Tavis Williams (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Jake Simmons (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Gan Williams (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Eye (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Good Characters
Jake Ketchum (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Dudley H. Dudley (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Meridian Mychaels (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Annie Bonelli (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Amanita (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
John Flint (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Shondra Kinsolving (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Mary Frazier (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Magdalene Kyle (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
J. Daniel Murphy (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Thomas Emery (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Margaret Pye (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Bad Characters
Michael Dugan (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Leah Wasserman (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Bad Characters
Norman Brawler (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Overmaster (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Irwin Hall (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Leila Davis (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Werner Schmidt (Brain Drain) (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Aaron English (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Aaron Salomon (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Kingo Sunen (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Hoder Villison (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Jonathan Drew (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Alejandro Montoya (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Asmodeus (Demon) (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Hamilton Slade (Rider) (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Agnar of Vanaheim (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Doug Thompson (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Gardner Monroe (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Plague (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Bad Characters
Thomas Lennox (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Alton Vibereaux (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Norma Astrovik (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Nathaniel Alexander Byrd (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Dynamic Man (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Lance Temple (Texas Kid) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Fenris Wolf (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Theodore Roberts (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Paul Destine (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Horus (Deity) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Alex Nevsky (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
John D. Armbruster (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Dweller-in-Darkness (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Yagzan (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Alexandra Rasputina (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Manslaughter (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Barton Hamilton (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Mongoose (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Patrick Mulligan (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Pixie (First Line) (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Evangeline Whedon (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Kiden Nixon (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Ultimaton (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Gilberto Corazon (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Ord (Breakworld) (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Lord Tyger (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Angmo-Asan (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Demetrius Lazer (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Janice Lincoln (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Robin Braxton (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Maximilian Frankenstein (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Gator (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Neal Saroyan (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Kevin Tremain (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Mister Jip (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Teresa Vasquez (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Bad Characters
Bliss (Morlock) (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Fin (Intruders) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Gary Paretsky (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Buck Cashman (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Cyttorak (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Carl Denti (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Malcolm Murphy (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
"Jacob Gavin, Jr. (Earth-616)",Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Pilgrim (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Bad Characters
Korath-Thak (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Mister Nacht (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Mitchell Anderson (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Magala (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Good Characters
Frederick von Frankenstein (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Ross Richman (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Radu Stancu (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Jean Hawkins (Dakotaverse),Public Identity,Female Characters,Living Characters,DC,Good Characters
Mace Gardner (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Martin Jordan (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Delirium (New Earth),Secret Identity,Female Characters,Living Characters,DC,Neutral Characters
Gorgon (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Marianne (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Albrecht von Mannheim (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Frostbite (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Shaolin Robot (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Alan Wayne (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Marvin Kuttler (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
David Winston (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Carla Moretti (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Bad Characters
Eric Moran (Prime Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Achilles Warkiller (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Frank Verrano (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Nadia (New Earth),Public Identity,Female Characters,Deceased Characters,DC,Good Characters
Walker Gabriel (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Tilt Shimura (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Onomatopoeia (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Alexander Nero (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Bad Characters
Veronica Sinclair (New Earth),Secret Identity,Female Characters,Living Characters,DC,Bad Characters
Aubrey Sparks (New Earth),Secret Identity,Female Characters,Living Characters,DC,Neutral Characters
Johnny Sorrow (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Bad Characters
Conrad Carapax (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Matthew Plunder (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Oceanus (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Jonathan Clark (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Leonard Hebb (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Brendon Doyle (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Atum (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Mister Chambers (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Helmut Gruler (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Ross Horton (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Katherine Summers (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Good Characters
Jester IV (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Buford Wilson (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Wyre (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Scott Washington (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Kodiak (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Ernst Sablinova (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Kurt Gerhardt (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Kofi Whitemane (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Mikel Fury (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Carlton Drake (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Nenora (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Bad Characters
Buck Chisholm (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Jalome Beacher (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Osiris (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Whirlwind (Horse) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Maa-Gor (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Lucifer (Quist) (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Francois Le Blanc (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Lightning (Dog) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Volla (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Good Characters
Red Hawk (Cheyenne) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Emilio Diaz (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Mary Mitchell (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Pepper Burns (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Peter Noble (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Valkin (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Earl Everett (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Dredmund Cromwell (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Raniero Drago (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Lisa Castle (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Gog (Tsiln) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Noah Perricone (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Ivan Krushki (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Gor-Tok (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Maxwell Taylor (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Tethys (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Justin Ballantine (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Charles Xavier (Legion Personality) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Blitziana (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Chay-Ara (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Meredith Creamer (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Michael Miller (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Matthew Savage (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Azmodus (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Eris (New Earth),Public Identity,Female Characters,Living Characters,DC,Bad Characters
